zone_id,cx,cy,cz,gp1,gp2,gp3,gp4,gp5,gp6,gp7,gp8
240,1525.01256728,-1558.89386482,513.13365651,2552,2501,14861,2298,,,,
241,266.712963986,-1178.37849522,84.4653530462,22254,18410,12411,12626,,,,
242,1274.64139471,-873.446138601,202.26241376,17349,4520,4512,4795,,,,
243,837.343732522,-1589.916018,243.731466143,8193,8018,7844,8165,,,,
244,740.992913041,-890.010598753,145.662221104,18428,8579,8740,18296,,,,
245,70.159035306,-807.043690394,517.124593871,21025,13987,13948,21023,,,,
246,1080.120855,-1486.80450139,284.250173122,16256,29758,15495,16263,,,,
247,739.877654533,-1218.98096678,333.884826957,29822,8775,8594,8817,,,,
248,1197.8671153,-864.632732665,141.544189502,17545,5116,5446,5125,,,,
249,420.11818405,-1580.62648961,457.991559304,23685,17661,17850,17849,,,,
250,166.362223022,-1607.16222808,479.949704163,18978,13520,13579,13414,,,,
251,585.902664754,-1210.38254431,511.489687259,22256,18243,9779,18040,,,,
252,876.105760449,-1474.92982697,72.1531589476,29558,7779,7794,7562,,,,
253,1256.39275846,-1461.37145984,525.554138496,15093,4817,4695,4868,,,,
254,1155.11507317,-11.8692227803,588.119518744,20263,5474,5480,5569,,,,
255,1348.29851334,-693.432623312,410.09130208,4141,4076,4137,4047,,,,
256,1701.80727167,-405.250542935,510.619780123,24196,19082,29816,24195,,,,
257,20.8843793722,-109.550335917,336.805866258,21097,20939,14327,14314,,,,
258,647.514316794,-572.651757473,326.738332069,19895,9506,9443,9330,,,,
259,42.8609388619,-280.915187611,557.592516289,25171,14056,14055,21839,,,,
260,783.151803804,-1607.65073871,517.991620156,16648,8419,8517,8328,,,,
261,834.393828926,-656.239745019,159.948317102,18987,7970,8243,29728,,,,
262,193.35209572,-887.095264008,512.194820859,13336,13315,13314,13348,,,,
263,245.628935428,-1604.06988165,340.588305989,18001,13064,12920,12686,,,,
264,1556.15554106,-1605.27404217,512.236876426,14894,2200,2142,2119,,,,
265,633.01480199,-1523.14958527,143.452144225,9347,16494,9338,9676,,,,
266,922.729918165,-1541.04818464,159.646930183,15727,7374,7685,7321,,,,
267,489.931491333,-1566.24919405,383.508687606,25585,23390,17131,30630,,,,
268,693.56450617,-1607.25762216,454.016519179,16646,9134,9049,8923,,,,
269,424.885944275,-1607.21845916,413.16219363,17660,11358,11362,11130,,,,
270,799.815797106,-1574.87176131,454.232827408,25520,16207,16362,29785,,,,
271,653.258013591,-979.741619908,334.84866676,9260,19523,9446,9259,,,,
272,588.022036979,-1167.40808022,314.737939744,18422,9704,9822,9984,,,,
273,264.604046615,-694.872609353,457.467885314,29508,12656,21686,12655,,,,
274,609.959594516,-726.903246616,268.828524095,24504,19873,19876,20098,,,,
275,275.272892526,-1099.96544174,498.87534127,19204,18942,12496,12682,,,,
276,509.945742645,-620.161687694,217.959114469,20106,19882,10405,20070,,,,
277,310.377553975,-514.461100244,545.503340903,29954,12221,12267,12304,,,,
278,527.398912877,-1394.77799005,556.406996119,18502,10333,18733,18731,,,,
279,477.48731958,-1047.3527362,407.104321102,19137,19394,20388,19393,,,,
280,658.13627284,-494.875018917,307.302142974,24593,20511,20338,20336,,,,
281,663.631214708,-958.381616938,175.875567927,18667,18662,9440,18432,,,,
282,1041.0562513,-1498.91935644,108.068119875,16372,6658,6320,6608,,,,
283,1199.55062291,-1545.94675115,39.8731700603,30563,15735,15733,15500,,,,
284,9.76998783225,-1603.68520831,328.42231346,14821,14833,14834,14113,,,,
285,1266.57606653,-984.94602616,277.452309331,17210,4788,4710,4582,,,,
286,1373.69399899,-691.858210178,425.654692955,29959,3869,3871,3858,,,,
287,667.012865424,-736.953878233,22.9374135264,18661,9634,9122,9154,,,,
288,1410.94934503,-717.071525869,404.48560175,30129,18340,3626,3651,,,,
289,562.946242596,-472.821253576,390.558106748,21008,9946,10094,10047,,,,
290,1015.86404249,-553.545739986,368.356161653,20414,6703,6787,20226,,,,
291,661.185252358,-329.527219614,451.431437134,9404,9214,9215,9391,,,,
292,934.400679205,-1510.460823,365.197000796,7268,15890,29699,15807,,,,
