gp_id,x,y,z,ux,uy,uz,u_mag
5879,1108.50390625,-1064.8359375,334.590820313,0.713874343959,2.2511595114,0.305364325621,2.38129861548
5880,1108.50390625,-1089.1328125,346.098022461,0.635911728386,2.36302931866,0.398135703521,2.47927475798
5881,1108.50390625,-1241.984375,347.029541016,0.560034117022,3.08518206778,0.520653954123,3.17853223101
5882,1108.50390625,-1264.109375,360.708007813,0.798280126998,3.74490534274,0.657569086992,3.88509514573
5883,1108.50390625,-1290.6171875,371.844726563,1.41970844509,4.52780799835,0.23772859294,4.75111904954
5884,1108.50390625,-1296.671875,374.382324219,1.40075648366,4.41590877755,0.0479735997413,4.63299800609
5885,1108.42113842,-676.688318033,315.315270717,-0.0458421991666,-0.106730125295,-0.0370116487211,0.121912628595
5886,1108.32637447,-940.240832443,210.268508139,-0.0115557351449,-0.000677786486361,-0.0551580838722,0.0563596364938
5887,1107.95479311,-93.9667511272,596.284111427,-0.0173776041531,-0.00428220900998,-0.314802908499,0.315311258346
5888,1107.77057956,-1452.49529415,81.1280469644,0.0188874390669,0.0470922152954,-0.09112081179,0.104294843771
5889,1107.56806366,-1363.96408466,251.757352406,0.141812357816,0.812906004312,-0.438386857686,0.934403528283
5890,1107.3125,-867.375,302.754516602,-0.0335427825836,-0.060043661256,-0.0383994977475,0.0787710666916
5891,1107.3125,-975.5625,304.61706543,0.896539821422,2.14502159676,1.05251602053,2.55199750694
5892,1107.3125,-1299.109375,377.007324219,1.53746480385,4.49353703533,-0.299661089971,4.75872565713
5893,1107.06321324,-1474.2715333,0.0,0.0,0.0,0.0,0.0
5894,1107.05234533,-1320.194786,336.238625283,0.790669568074,3.04854943079,-0.570755219835,3.20071453254
5895,1106.96981722,-983.9609375,308.018590941,0.866842776824,2.15250642016,0.923062969807,2.49734770002
5896,1106.641137,-424.406052637,481.340013969,-0.0324770725255,-0.0876150554693,-0.139037265404,0.167518713449
5897,1106.47938393,-1538.35427667,542.413000505,0.0278449255963,1.79895407952,-3.33120010541,3.78601442977
5898,1106.37774803,-847.436992864,303.511502238,-0.0346322106377,-0.0630384304515,-0.0398356622748,0.0822199107048
5899,1106.31210191,-1341.26086999,414.876956933,1.74093575876,4.46411914711,-1.1132546656,4.91920247867
5900,1106.18098765,-349.497934345,540.039852603,-0.02085883177,-0.0437408312184,-0.209300212326,0.214836984847
5901,1105.74725061,-1549.43235018,0.0,0.0,0.0,0.0,0.0
5902,1105.71811309,-1053.11023139,63.9425233371,0.00995294715258,0.0464203691888,-0.0416913642049,0.0631829223914
5903,1105.6171875,-1294.359375,374.130737305,1.39132823716,4.50539435743,0.161479965586,4.71809795986
5904,1104.82508936,-1347.19269216,400.581616295,1.61612141977,4.2673823309,-1.23939162638,4.72847671085
5905,1104.72265625,-584.0390625,401.698242188,-0.0408642597577,-0.111717351829,-0.0295233255481,0.122565415908
5906,1104.70507449,-982.543552199,288.783006017,0.604268813987,1.82262493258,0.671726415898,2.03428582609
5907,1104.65234375,-1469.203125,539.840332031,0.59687847635,2.65168490344,-2.84722751163,3.93629283027
5908,1104.65234375,-1493.2734375,542.441772461,0.30951320372,2.49228504499,-3.27639853892,4.12820427724
5909,1104.54585231,-1042.81833563,150.595303019,0.0951116786303,0.456809040596,-0.309371276813,0.559849370723
5910,1104.15075911,-913.968824347,296.029516962,0.247176967398,0.907334379991,1.39878120463,1.68550911856
5911,1104.05859375,-951.921875,303.272216797,0.552365558141,1.91939842204,2.00791242049,2.83212116631
5912,1103.9739304,-1407.20584882,224.012801257,0.0745847773595,0.447532792651,-0.329301112378,0.560613692417
5913,1103.80182313,-462.585039285,453.37699205,-0.0342490261802,-0.102446332561,-0.0926053583679,0.142281408651
5914,1103.70724129,-118.7396914,595.606184908,-0.0171948745953,-0.0050701527169,-0.312660431398,0.313173938129
5915,1103.68836057,-808.0,317.095626913,-0.0374417200706,-0.0761970311452,-0.0387901542983,0.0933410200698
5916,1103.5961212,-188.433609003,597.757180475,-0.0180061013903,-0.00613703576747,-0.283428886748,0.284066570963
5917,1103.39257813,-648.18359375,372.340209961,-0.0456926092858,-0.120789131961,-0.0313723342397,0.13289865424
5918,1103.390625,-624.0390625,391.091064453,-0.0445037432244,-0.119056064354,-0.026815366646,0.129899936524
5919,1103.36065472,-872.008686494,294.132555452,-0.0319555696379,-0.0578085993751,-0.0412773528789,0.0778897454951
5920,1103.3084591,-1374.44158759,322.880715347,0.51656515225,2.09659516487,-0.833050179145,2.31441643678
5921,1103.29263619,-1015.68598823,213.098888063,0.21351986791,0.887213821237,-0.227478080131,0.940470826515
5922,1102.7265625,-1286.8671875,366.485717773,1.27657980271,4.32798157276,0.37741757486,4.52808176965
5923,1102.7265625,-1290.6171875,373.71484375,1.44936057501,4.67184340908,0.27780500921,4.8993818527
5924,1102.7265625,-1319.0078125,401.174682617,1.64115197906,4.63564476358,-0.497402075457,4.94267043379
5925,1102.61403715,-1429.1953125,515.812395633,1.05110500538,3.61592091233,-2.16618121889,4.34419691654
5926,1102.23937265,-1212.3138937,346.394657564,0.404119063628,2.84231807196,0.711767320723,2.95781962916
5927,1102.1328125,-1357.3125,435.071411133,1.78848079412,4.40248149845,-1.51188985395,4.98661386369
5928,1102.1328125,-1366.4140625,453.375976563,1.70394846448,4.32388016197,-1.63174894256,4.92564560604
5929,1102.1328125,-1400.84375,474.139770508,1.48085022377,4.06965521651,-2.06439268606,4.79757523429
5930,1102.1328125,-1411.2265625,488.420776367,1.35959914784,3.89649323411,-2.1949151474,4.67427233594
5931,1101.6559555,-1467.03377116,51.3836454203,0.0111205637928,0.0209721207901,-0.0509430006994,0.056202189546
5932,1101.5,-590.1171875,396.808837891,-0.0421641898398,-0.114424690532,-0.0256860139352,0.124621828024
5933,1101.20842866,-597.614848982,394.298349739,-0.0426842582729,-0.116065406728,-0.0271292612823,0.126606166363
5934,1101.1751761,-1139.34935551,346.845075438,0.463713917353,2.57696429964,0.473812857946,2.66087846831
5935,1100.92038414,-1460.58380008,475.620218924,0.984935003872,3.44992033544,-2.34034674392,4.28360480956
5936,1100.70284484,-979.667413382,154.490037818,0.00143724922609,0.0279362329234,-0.0665643271727,0.0722032440216
5937,1100.38725946,-368.202080788,515.542524013,-0.0244317824472,-0.0607706877873,-0.192037859737,0.202900290931
5938,1099.890625,-593.15625,394.38659668,-0.0425339140582,-0.11510798217,-0.0246622102991,0.125168710232
5939,1099.29040078,-1022.93344075,98.1100482361,0.00720826219618,0.0465369298465,-0.059054485721,0.0755319612296
5940,1099.1767395,-142.74103278,596.645053303,-0.0170898717211,-0.00534960189565,-0.30872075558,0.309239691634
5941,1098.87048505,-48.3514736061,597.717808642,-0.0172846738202,-0.00236350497667,-0.318475467688,0.318952926972
5942,1098.77578322,-476.517627276,432.246443461,-0.0318429595828,-0.107962616917,-0.0815530944502,0.138999309138
5943,1098.65909893,-995.515625,317.583688405,1.06802036143,2.42914591182,0.833729024999,2.78146030718
